,name,merchant,price,url,description,image
42,BCBGeneration Graphic Floral Robe Jacket,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13984239400&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZOI4169949-977.html,BCBGeneration Graphic Floral Robe Jacket,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwfdfdf78e/images/large/ZOI4169949_977.jpg?sw=500&sh=791&sm=fit
43,BCBGeneration Surplice Knit Crop Top,BCBGeneration,20.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078200&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FYDM1169934-501.html,BCBGeneration Surplice Knit Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw0accec67/images/large/YDM1169934_501.jpg?sw=500&sh=791&sm=fit
44,BCBGeneration Denim Military Cap,BCBGeneration,28.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144151&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FHG141922-118.html,BCBGeneration Denim Military Cap,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw48a8d152/images/large/HG141922_118.jpg?sw=500&sh=791&sm=fit
45,BCBGeneration Denim Military Cap,BCBGeneration,28.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144147&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FHG141922-001.html,BCBGeneration Denim Military Cap,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw0f236454/images/large/HG141922_001.jpg?sw=500&sh=791&sm=fit
46,BCBGeneration Pleather Stripe Legging,BCBGeneration,38.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144111&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FXGN2185502-001.html,BCBGeneration Pleather Stripe Legging,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa2351b9b/images/large/XGN2185502_001.jpg?sw=500&sh=791&sm=fit
47,BCBGeneration Your Loss Muscle Tee,BCBGeneration,23.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144139&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTZA1220936-100.html,BCBGeneration Your Loss Muscle Tee,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw2af64a29/images/large/TZA1220936_100.jpg?sw=500&sh=791&sm=fit
48,BCBGeneration Metallic Ribbed Sheath Dress,BCBGeneration,49.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144103&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTXS6185495-285.html,BCBGeneration Metallic Ribbed Sheath Dress,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw06879604/images/large/TXS6185495_285.jpg?sw=500&sh=791&sm=fit
49,BCBGeneration Mock Neck Sweater Dress,BCBGeneration,44.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144131&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FOFE6173681-013.html,BCBGeneration Mock Neck Sweater Dress,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw014bc355/images/large/OFE6173681_013.jpg?sw=500&sh=791&sm=fit
50,BCBGeneration Your Loss Muscle Tee,BCBGeneration,23.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14053144142&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTZA1220936-100.html,BCBGeneration Your Loss Muscle Tee,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw2af64a29/images/large/TZA1220936_100.jpg?sw=500&sh=791&sm=fit
51,BCBGeneration Strappy Surplice Jumpsuit,BCBGeneration,58.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13770208430&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZGK9176394-481.html,BCBGeneration Strappy Surplice Jumpsuit,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa7202dde/images/large/ZGK9176394_481.jpg?sw=500&sh=791&sm=fit
